,中文名,英文名,上映日,ID,海報Url
0,輪到你了劇場版,YourTurntoKill:TheMovie,2022-05-13,12921,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/bQxHkeSHdDORoEap5AuT-800x1170.jpg
1,漁港的肉子,FortuneFavorsLadyNikuko,2022-05-13,12973,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/RbVTCHgTnAY8sYmSSGlX-1080x1519.jpg
2,我不是英雄,AHero,2022-05-13,12975,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/loI8WOyhIz42TfPuxJkN-1080x1542.jpg
3,鹿王,TheDeerKing,2022-05-13,13011,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/JAKAE2vLOWehh060lnPy-1080x1524.jpg
4,死亡預報,TheAnchor,2022-05-13,13055,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/blQvsIUDN6dq1m0135sb-1080x1543.JPG
5,鯊顫,SharkBait,2022-05-13,13077,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/YWYdrtFluudRhvjnUKLr-1080x1544.jpg
6,空氣殺人,Toxic,2022-05-13,13152,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/VKAOVgevov2cZslSSX35-800x1146.jpg
7,猛鬼大學：第2學期,HauntedUniversities2：SecondSemester,2022-05-13,13162,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/GqsIJtVsyDwQxPKNMSQE-1080x1538.jpg
8,詭棋,TheDarkertheLake,2022-05-13,13179,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/WboXLdkkJDU8OH0nKeh3-1080x1542.jpg
9,奪冠,LEAP,2022-05-13,13187,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/Dmf9B1XHMUv3ctBsY0lB-1080x1543.jpg
10,阿哈：帶我走,A-ha-TheMovie,2022-05-13,13188,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/hifG2p8uCfgkJMLXa928-1080x1538.jpg
11,柏格曼的島,BergmanIsland,2022-05-13,13191,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/MFyZxN7c7iJ2YiH0nBSW-1080x1536.jpg
12,格瑞特真相,TheGreaterGood,2022-05-13,13201,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/DFCHLzl4bDZtR2cvE4Rz-1080x1542.jpg
13,親愛的童伴,Petitemaman,2022-05-13,13214,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/YGUENvRxfkTBl1Y7Lat5-1080x1538.jpg
14,一家之主,Reclaim,2022-05-06,11373,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/TmwgD5qn0ZyHeE2lbCRf-1080x1542.jpg
15,你好，李煥英,"Hi,Mom",2022-05-06,12974,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/eKXIbRoM9UftO15llAfY-1080x1542.jpg
16,邊緣行者,ManontheEdge,2022-05-06,13054,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/ZFmpZJyeoqVpkeG8ir0e-1080x1543.jpg
17,奇異博士2：失控多重宇宙,DoctorStrangeintheMultiverseofMadness,2022-05-04,12136,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/rzHcO2XZWzQxrMn1TlMG-1280x1827.jpg
18,告白,Confessions,2022-04-29,11390,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/6rx2LgnSsxnaNt9m7uht-500x714.jpg
19,售命,LifeForSale,2022-04-29,12667,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/3FoVA64X6Zu1uLAlZ2qo-1080x1537.jpg
20,鳶,Tonbi,2022-04-29,12833,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/soRNWMOUwYF5Mr9jE6h9-1080x1544.jpg
21,記憶殺神,Memory,2022-04-29,12892,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/RnDSVNsn5ihsXbNYhoJc-1080x1542.jpg
22,燃燒的劍,Baragaki:UnbrokenSamurai,2022-04-29,12900,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/OqQ6nJhMDHtjgEDQLEJE-1080x1543.jpg
23,死間行動,OperationMincemeat,2022-04-29,12904,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/4wJA4Toa1HoKyZvVCfVP-1080x1542.jpg
24,決戰星期天,TheSundayRunoff,2022-04-29,12909,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/y2r4iqJTdy8wmsqxXXop-1080x1542.jpg
25,超跑斯特拉,Stellar：AMagicalride,2022-04-29,12978,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/pdeCvxRAn7pw3DoWA0A3-1080x1538.jpg
26,媽的多重宇宙,EverythingEverywhereAllatOnce,2022-04-22,12804,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/eJLS7BFacgQXl6hbNAAv-1080x1542.jpg
