,中文名,英文名,上映日,ID
0,捍衛戰士：獨行俠,Top Gun: Maverick,2022-05-25,10715
1,犯罪都市2,The Roundup,2022-05-20,10717
2,牛首村,Ox-Head Village,2022-05-20,10718
3,逃出封鎖線,The Pilot,2022-05-20,10724
4,鬼雙胞,The Twin,2022-05-20,10719
5,淒厲人僧：卡到陰,Pee Nak 3,2022-05-20,10720
6,第一人夫,First Gentleman,2022-05-20,10727
7,秋天的童話,An Autumn's Tale,2022-05-20,10721
8,死亡預報,The Anchor,2022-05-13,10709
9,詭棋,The Darker the Lake,2022-05-13,10707
10,猛鬼大學：第2學期,Haunted Universities 2：Second Semester,2022-05-13,10713
11,鯊顫,Shark Bait,2022-05-13,10708
12,空氣殺人,Toxic,2022-05-13,10711
13,格瑞特真相,The Greater Good,2022-05-13,10716
14,鹿王,The Deer King,2022-05-13,10712
15,漁港的肉子,Fortune Favors Lady Nikuko,2022-05-13,10714
16,我不是英雄,A Hero,2022-05-13,10710
17,奇異博士2：失控多重宇宙,Doctor Strange in the Multiverse of Madness,2022-05-04,10701
18,一家之主,Reclaim,2022-05-06,10703
19,你好，李煥英,"Hi, Mom",2022-05-06,10704
20,記憶殺神,Memory,2022-04-29,10696
21,死間行動,Operation Mincemeat,2022-04-29,10697
22,售命,Life For Sale,2022-04-29,10695
23,超跑斯特拉,Stellar：A Magical ride,2022-04-29,10700
24,藥命回憶,The Education of Fredrick Fitzell,2022-04-29,10698
25,燃燒的劍,Baragaki: Unbroken Samurai,2022-04-29,10699
26,超吉任務,The Unbearable Weight of Massive Talent,2022-04-22,10690
27,媽的多重宇宙,Everything Everywhere All at Once,2022-04-22,10691
28,怪獸與鄧不利多的秘密,Fantastic Beasts: The Secrets of Dumbledore,2022-04-14,10682
29,失落謎城,The Lost City,2022-04-08,10672
30,電影版 如果30歲還是處男，似乎就能成為魔法師,“Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard ?!” The Movie,2022-04-08,10673
31,音速小子2,Sonic the Hedgehog 2,2022-04-01,10666
32,頭七,The Funeral,2022-04-01,10668
33,少年吔,Untouchable,2022-03-18,10652
34,咒,Incantation,2022-03-18,10651
35,劇場版 咒術迴戰 0,JUJUTSU KAISEN: ZERO,2022-02-24,10633
36,我吃了那男孩一整年的早餐,My Best Friend's Breakfast,2022-01-28,10608
37,牛首村,Ox-Head Village,2022-05-20,10718
38,逃出封鎖線,The Pilot,2022-05-20,10724
39,淒厲人僧：卡到陰,Pee Nak 3,2022-05-20,10720
40,鬼雙胞,The Twin,2022-05-20,10719
41,犯罪都市2,The Roundup,2022-05-20,10717
42,秋天的童話,An Autumn's Tale,2022-05-20,10721
43,第一人夫,First Gentleman,2022-05-20,10727
44,捍衛戰士：獨行俠,Top Gun: Maverick,2022-05-25,10715
45,電影版 99.9 不可能的翻案,99.9 Criminal Lawyer The Movie,2022-05-27,10722
46,藍色是最溫暖的顏色,BLUE IS THE WARMEST COLOUR,2022-05-27,10723
47,終極夜路,Gasoline Alley,2022-06-02,10726
48,們,Men,2022-06-02,10725
