,戲院,類型,時刻
0,台北美麗華大直影城,IMAX,09:00
1,台北美麗華大直影城,IMAX,11:30
2,台北美麗華大直影城,IMAX,14:00
3,台北美麗華大直影城,IMAX,16:30
4,台北美麗華大直影城,IMAX,19:00
5,台北美麗華大直影城,IMAX,00:00
6,台北美麗華大直影城,數位,09:20
7,台北美麗華大直影城,數位,09:40
8,台北美麗華大直影城,數位,10:10
9,台北美麗華大直影城,數位,10:30
10,台北美麗華大直影城,數位,11:00
11,台北美麗華大直影城,數位,11:50
12,台北美麗華大直影城,數位,12:10
13,台北美麗華大直影城,數位,12:40
14,台北美麗華大直影城,數位,13:00
15,台北美麗華大直影城,數位,13:30
16,台北美麗華大直影城,數位,14:20
17,台北美麗華大直影城,數位,14:40
18,台北美麗華大直影城,數位,15:10
19,台北美麗華大直影城,數位,15:30
20,台北美麗華大直影城,數位,15:45
21,台北美麗華大直影城,數位,16:00
22,台北美麗華大直影城,數位,16:50
23,台北美麗華大直影城,數位,17:10
24,台北美麗華大直影城,數位,17:40
25,台北美麗華大直影城,數位,18:00
26,台北美麗華大直影城,數位,18:30
27,台北美麗華大直影城,數位,19:20
28,台北美麗華大直影城,數位,19:40
29,台北美麗華大直影城,數位,20:10
30,台北美麗華大直影城,數位,20:30
31,台北美麗華大直影城,數位,20:45
32,台北美麗華大直影城,數位,21:00
33,台北美麗華大直影城,數位,21:50
34,台北美麗華大直影城,數位,22:10
35,台北美麗華大直影城,數位,22:40
36,台北美麗華大直影城,數位,23:00
37,台北美麗華大直影城,數位,23:30
38,台北美麗華大直影城,IMAX+3D,21:30
39,台北新光影城,數位,10:15
40,台北新光影城,數位,11:30
41,台北新光影城,數位,12:45
42,台北新光影城,數位,14:00
43,台北新光影城,數位,15:15
44,台北新光影城,數位,15:55
45,台北新光影城,數位,16:30
46,台北新光影城,數位,17:45
47,台北新光影城,數位,19:00
48,台北新光影城,數位,20:15
49,台北新光影城,數位,21:30
50,台北in89豪華數位影城,數位,10:00
51,台北in89豪華數位影城,數位,11:00
52,台北in89豪華數位影城,數位,11:30
53,台北in89豪華數位影城,數位,12:30
54,台北in89豪華數位影城,數位,13:30
55,台北in89豪華數位影城,數位,14:00
56,台北in89豪華數位影城,數位,15:00
57,台北in89豪華數位影城,數位,16:30
58,台北in89豪華數位影城,數位,17:30
59,台北in89豪華數位影城,數位,18:30
60,台北in89豪華數位影城,數位,19:00
61,台北in89豪華數位影城,數位,20:00
62,台北in89豪華數位影城,數位,21:00
63,台北in89豪華數位影城,數位,21:30
64,台北in89豪華數位影城,數位,22:30
65,台北樂聲影城,數位,09:30
66,台北樂聲影城,數位,10:20
67,台北樂聲影城,數位,12:05
68,台北樂聲影城,數位,13:20
69,台北樂聲影城,數位,14:40
70,台北樂聲影城,數位,15:55
71,台北樂聲影城,數位,17:15
72,台北樂聲影城,數位,19:00
73,台北樂聲影城,數位,19:50
74,台北樂聲影城,數位,21:35
75,台北樂聲影城,數位,22:25
76,台北樂聲影城,數位,23:30
77,台北樂聲影城,數位,00:10
78,台北樂聲影城,數位,01:00
79,台北樂聲影城,數位,01:55
80,台北樂聲影城,數位,02:45
81,台北樂聲影城,數位,03:35
82,喜滿客絕色影城,數位,10:20
83,喜滿客絕色影城,數位,10:50
84,喜滿客絕色影城,數位,11:50
85,喜滿客絕色影城,數位,12:20
86,喜滿客絕色影城,數位,12:50
87,喜滿客絕色影城,數位,13:20
88,喜滿客絕色影城,數位,13:50
89,喜滿客絕色影城,數位,14:20
90,喜滿客絕色影城,數位,14:50
91,喜滿客絕色影城,數位,15:20
92,喜滿客絕色影城,數位,15:50
93,喜滿客絕色影城,數位,16:20
94,喜滿客絕色影城,數位,16:50
95,喜滿客絕色影城,數位,17:20
96,喜滿客絕色影城,數位,17:50
97,喜滿客絕色影城,數位,18:20
98,喜滿客絕色影城,數位,18:50
99,喜滿客絕色影城,數位,19:20
100,喜滿客絕色影城,數位,19:50
101,喜滿客絕色影城,數位,20:20
102,喜滿客絕色影城,數位,20:50
103,喜滿客絕色影城,數位,21:20
104,喜滿客絕色影城,數位,21:45
105,台北信義威秀影城,數位,09:40
106,台北信義威秀影城,數位,10:00
107,台北信義威秀影城,數位,10:45
108,台北信義威秀影城,數位,11:05
109,台北信義威秀影城,數位,11:30
110,台北信義威秀影城,數位,11:50
111,台北信義威秀影城,數位,12:10
112,台北信義威秀影城,數位,12:30
113,台北信義威秀影城,數位,13:15
114,台北信義威秀影城,數位,13:35
115,台北信義威秀影城,數位,14:00
116,台北信義威秀影城,數位,14:20
117,台北信義威秀影城,數位,14:40
118,台北信義威秀影城,數位,15:00
119,台北信義威秀影城,數位,15:45
120,台北信義威秀影城,數位,16:05
121,台北信義威秀影城,數位,16:30
122,台北信義威秀影城,數位,16:50
123,台北信義威秀影城,數位,17:10
124,台北信義威秀影城,數位,17:30
125,台北信義威秀影城,數位,18:15
126,台北信義威秀影城,數位,18:35
127,台北信義威秀影城,數位,19:00
128,台北信義威秀影城,數位,19:40
129,台北信義威秀影城,數位,20:00
130,台北信義威秀影城,數位,20:45
131,台北信義威秀影城,數位,21:05
132,台北信義威秀影城,數位,21:30
133,台北信義威秀影城,數位,21:50
134,台北信義威秀影城,數位,22:10
135,台北信義威秀影城,數位,22:30
136,台北信義威秀影城,數位,23:15
137,台北信義威秀影城,數位,23:35
138,台北信義威秀影城,數位,00:00
139,台北信義威秀影城,數位,00:20
140,台北信義威秀影城,數位,00:40
141,台北信義威秀影城,數位,01:00
142,哈拉影城,數位,10:20
143,哈拉影城,數位,10:50
144,哈拉影城,數位,11:20
145,哈拉影城,數位,11:50
146,哈拉影城,數位,12:50
147,哈拉影城,數位,13:20
148,哈拉影城,數位,13:50
149,哈拉影城,數位,14:20
150,哈拉影城,數位,14:50
151,哈拉影城,數位,15:20
152,哈拉影城,數位,15:50
153,哈拉影城,數位,16:20
154,哈拉影城,數位,16:50
155,哈拉影城,數位,17:20
156,哈拉影城,數位,17:50
157,哈拉影城,數位,18:20
158,哈拉影城,數位,18:50
159,哈拉影城,數位,19:20
160,哈拉影城,數位,19:50
161,哈拉影城,數位,20:20
162,哈拉影城,數位,20:50
163,哈拉影城,數位,21:20
164,哈拉影城,數位,22:00
165,哈拉影城,數位,22:50
166,京站威秀影城,數位,09:30
167,京站威秀影城,數位,10:00
168,京站威秀影城,數位,11:00
169,京站威秀影城,數位,11:30
170,京站威秀影城,數位,12:00
171,京站威秀影城,數位,12:30
172,京站威秀影城,數位,13:30
173,京站威秀影城,數位,14:00
174,京站威秀影城,數位,14:30
175,京站威秀影城,數位,15:00
176,京站威秀影城,數位,15:30
177,京站威秀影城,數位,16:00
178,京站威秀影城,數位,16:30
179,京站威秀影城,數位,17:00
180,京站威秀影城,數位,17:30
181,京站威秀影城,數位,18:30
182,京站威秀影城,數位,19:00
183,京站威秀影城,數位,19:30
184,京站威秀影城,數位,20:00
185,京站威秀影城,數位,21:00
186,京站威秀影城,數位,21:30
187,京站威秀影城,數位,22:00
188,京站威秀影城,數位,22:30
189,京站威秀影城,數位,23:30
190,京站威秀影城,數位,00:00
191,京站威秀影城,數位,00:30
192,京站威秀影城,數位+3D,13:00
193,京站威秀影城,數位+3D,20:30
194,梅花數位影院,數位,12:40
195,梅花數位影院,數位,14:30
196,梅花數位影院,數位,15:00
197,梅花數位影院,數位,16:50
198,梅花數位影院,數位,17:20
199,梅花數位影院,數位,19:40
200,台北新民生戲院,數位,10:30
201,台北新民生戲院,數位,13:00
202,台北新民生戲院,數位,15:30
203,台北新民生戲院,數位,18:00
204,台北新民生戲院,數位,20:30
205,台北新民生戲院,數位,23:00
206,喜樂時代影城南港店,數位,11:00
207,喜樂時代影城南港店,數位,11:15
208,喜樂時代影城南港店,數位,11:30
209,喜樂時代影城南港店,數位,11:50
210,喜樂時代影城南港店,數位,12:10
211,喜樂時代影城南港店,數位,12:30
212,喜樂時代影城南港店,數位,12:45
213,喜樂時代影城南港店,數位,13:00
214,喜樂時代影城南港店,數位,13:20
215,喜樂時代影城南港店,數位,13:35
216,喜樂時代影城南港店,數位,13:55
217,喜樂時代影城南港店,數位,14:10
218,喜樂時代影城南港店,數位,14:25
219,喜樂時代影城南港店,數位,14:40
220,喜樂時代影城南港店,數位,14:55
221,喜樂時代影城南港店,數位,15:05
222,喜樂時代影城南港店,數位,15:20
223,喜樂時代影城南港店,數位,15:35
224,喜樂時代影城南港店,數位,15:50
225,喜樂時代影城南港店,數位,16:05
226,喜樂時代影城南港店,數位,16:20
227,喜樂時代影城南港店,數位,16:35
228,喜樂時代影城南港店,數位,16:50
229,喜樂時代影城南港店,數位,17:05
230,喜樂時代影城南港店,數位,17:15
231,喜樂時代影城南港店,數位,17:25
232,喜樂時代影城南港店,數位,17:30
233,喜樂時代影城南港店,數位,17:45
234,喜樂時代影城南港店,數位,18:00
235,喜樂時代影城南港店,數位,18:15
236,喜樂時代影城南港店,數位,18:30
237,喜樂時代影城南港店,數位,18:50
238,喜樂時代影城南港店,數位,19:15
239,喜樂時代影城南港店,數位,19:30
240,喜樂時代影城南港店,數位,19:40
241,喜樂時代影城南港店,數位,19:50
242,喜樂時代影城南港店,數位,20:00
243,喜樂時代影城南港店,數位,20:15
244,喜樂時代影城南港店,數位,20:25
245,喜樂時代影城南港店,數位,20:40
246,喜樂時代影城南港店,數位,20:55
247,喜樂時代影城南港店,數位,21:10
248,喜樂時代影城南港店,數位,21:25
249,喜樂時代影城南港店,數位,21:40
250,喜樂時代影城南港店,數位,22:00
251,喜樂時代影城南港店,數位,22:20
252,喜樂時代影城南港店,數位,22:45
253,MUVIE CINEMAS台北松仁威秀,數位,09:40
254,MUVIE CINEMAS台北松仁威秀,數位,11:20
255,MUVIE CINEMAS台北松仁威秀,數位,12:10
256,MUVIE CINEMAS台北松仁威秀,數位,13:50
257,MUVIE CINEMAS台北松仁威秀,數位,14:40
258,MUVIE CINEMAS台北松仁威秀,數位,16:20
259,MUVIE CINEMAS台北松仁威秀,數位,17:10
260,MUVIE CINEMAS台北松仁威秀,數位,18:50
261,MUVIE CINEMAS台北松仁威秀,數位,19:40
262,MUVIE CINEMAS台北松仁威秀,數位,21:20
263,MUVIE CINEMAS台北松仁威秀,數位,22:10
