,片名,戲院,類型,時刻,日期
0,再會啦 白宮,台北真善美劇院,數位,12:30,2022-05-23
1,再會啦 白宮,台北真善美劇院,數位,20:55,2022-05-23
2,再會啦 白宮,台北信義威秀影城,數位,09:50,2022-05-23
3,再會啦 白宮,台北信義威秀影城,數位,17:10,2022-05-23
4,再會啦 白宮,台北信義威秀影城,數位,20:55,2022-05-23
5,再會啦 白宮,喜樂時代影城南港店,數位,11:00,2022-05-23
6,再會啦 白宮,喜樂時代影城南港店,數位,15:10,2022-05-23
7,再會啦 白宮,喜樂時代影城南港店,數位,19:00,2022-05-23
8,再會啦 白宮,台北真善美劇院,數位,12:30,2022-05-24
9,再會啦 白宮,台北真善美劇院,數位,20:40,2022-05-24
10,再會啦 白宮,台北信義威秀影城,數位,09:50,2022-05-24
11,再會啦 白宮,台北信義威秀影城,數位,17:10,2022-05-24
12,再會啦 白宮,台北信義威秀影城,數位,20:55,2022-05-24
13,再會啦 白宮,喜樂時代影城南港店,數位,11:00,2022-05-24
14,再會啦 白宮,喜樂時代影城南港店,數位,15:10,2022-05-24
15,再會啦 白宮,喜樂時代影城南港店,數位,19:00,2022-05-24
16,再會啦 白宮,台北真善美劇院,數位,14:10,2022-05-25
17,再會啦 白宮,台北真善美劇院,數位,17:50,2022-05-25
18,再會啦 白宮,台北真善美劇院,數位,12:30,2022-05-26
19,再會啦 白宮,台北真善美劇院,數位,20:55,2022-05-26
20,給阿媽的一封信,台北真善美劇院,數位,12:20,2022-05-23
21,給阿媽的一封信,台北真善美劇院,數位,20:40,2022-05-23
22,給阿媽的一封信,台北信義威秀影城,數位,11:10,2022-05-23
23,給阿媽的一封信,台北信義威秀影城,數位,15:15,2022-05-23
24,給阿媽的一封信,台北信義威秀影城,數位,19:00,2022-05-23
25,給阿媽的一封信,光點華山電影館,數位,13:45,2022-05-23
26,給阿媽的一封信,光點華山電影館,數位,18:05,2022-05-23
27,給阿媽的一封信,喜樂時代影城南港店,數位,14:55,2022-05-23
28,給阿媽的一封信,喜樂時代影城南港店,數位,19:10,2022-05-23
29,給阿媽的一封信,台北真善美劇院,數位,12:20,2022-05-24
30,給阿媽的一封信,台北真善美劇院,數位,20:40,2022-05-24
31,給阿媽的一封信,台北信義威秀影城,數位,11:10,2022-05-24
32,給阿媽的一封信,台北信義威秀影城,數位,15:15,2022-05-24
33,給阿媽的一封信,台北信義威秀影城,數位,19:00,2022-05-24
34,給阿媽的一封信,喜樂時代影城南港店,數位,14:55,2022-05-24
35,給阿媽的一封信,喜樂時代影城南港店,數位,19:10,2022-05-24
36,給阿媽的一封信,台北真善美劇院,數位,12:20,2022-05-25
37,給阿媽的一封信,台北真善美劇院,數位,20:40,2022-05-25
38,給阿媽的一封信,台北真善美劇院,數位,12:20,2022-05-26
39,給阿媽的一封信,台北真善美劇院,數位,20:40,2022-05-26
40,安妮詩快跑,國賓影城(台北長春廣場),數位,15:00,2022-05-23
41,安妮詩快跑,國賓影城(台北長春廣場),數位,19:00,2022-05-23
42,安妮詩快跑,台北真善美劇院,數位,19:00,2022-05-23
43,安妮詩快跑,喜樂時代影城南港店,數位,13:05,2022-05-23
44,安妮詩快跑,喜樂時代影城南港店,數位,15:15,2022-05-23
45,安妮詩快跑,喜樂時代影城南港店,數位,19:05,2022-05-23
46,安妮詩快跑,MUVIE CINEMAS台北松仁威秀,數位,13:35,2022-05-23
47,安妮詩快跑,MUVIE CINEMAS台北松仁威秀,數位,18:25,2022-05-23
48,安妮詩快跑,台北真善美劇院,數位,19:00,2022-05-24
49,安妮詩快跑,喜樂時代影城南港店,數位,13:20,2022-05-24
50,安妮詩快跑,喜樂時代影城南港店,數位,17:10,2022-05-24
51,安妮詩快跑,喜樂時代影城南港店,數位,20:20,2022-05-24
52,安妮詩快跑,MUVIE CINEMAS台北松仁威秀,數位,13:35,2022-05-24
53,安妮詩快跑,MUVIE CINEMAS台北松仁威秀,數位,18:25,2022-05-24
54,安妮詩快跑,台北真善美劇院,數位,19:00,2022-05-25
55,安妮詩快跑,台北真善美劇院,數位,19:00,2022-05-26
56,犯罪都市2,欣欣秀泰影城,數位,11:00,2022-05-23
57,犯罪都市2,欣欣秀泰影城,數位,13:10,2022-05-23
58,犯罪都市2,欣欣秀泰影城,數位,15:20,2022-05-23
59,犯罪都市2,欣欣秀泰影城,數位,17:30,2022-05-23
60,犯罪都市2,欣欣秀泰影城,數位,19:40,2022-05-23
61,犯罪都市2,欣欣秀泰影城,數位,21:50,2022-05-23
62,犯罪都市2,欣欣秀泰影城,數位,00:00,2022-05-23
63,犯罪都市2,台北美麗華大直影城,數位,09:00,2022-05-23
64,犯罪都市2,台北美麗華大直影城,數位,11:10,2022-05-23
65,犯罪都市2,台北美麗華大直影城,數位,15:10,2022-05-23
66,犯罪都市2,台北美麗華大直影城,數位,17:20,2022-05-23
67,犯罪都市2,台北美麗華大直影城,數位,19:30,2022-05-23
68,犯罪都市2,台北美麗華大直影城,數位,21:30,2022-05-23
69,犯罪都市2,台北美麗華大直影城,數位,23:50,2022-05-23
70,犯罪都市2,台北新光影城,數位,12:05,2022-05-23
71,犯罪都市2,台北新光影城,數位,14:50,2022-05-23
72,犯罪都市2,台北新光影城,數位,16:55,2022-05-23
73,犯罪都市2,台北新光影城,數位,20:10,2022-05-23
74,犯罪都市2,台北樂聲影城,數位,09:20,2022-05-23
75,犯罪都市2,台北樂聲影城,數位,11:25,2022-05-23
76,犯罪都市2,台北樂聲影城,數位,13:30,2022-05-23
77,犯罪都市2,台北樂聲影城,數位,15:35,2022-05-23
78,犯罪都市2,台北樂聲影城,數位,17:40,2022-05-23
79,犯罪都市2,台北樂聲影城,數位,19:45,2022-05-23
80,犯罪都市2,台北樂聲影城,數位,21:50,2022-05-23
81,犯罪都市2,台北樂聲影城,數位,22:40,2022-05-23
82,犯罪都市2,台北樂聲影城,數位,23:55,2022-05-23
83,犯罪都市2,台北樂聲影城,數位,00:40,2022-05-23
84,犯罪都市2,台北樂聲影城,數位,02:00,2022-05-23
85,犯罪都市2,台北樂聲影城,數位,03:00,2022-05-23
86,犯罪都市2,喜滿客絕色影城,數位,13:40,2022-05-23
87,犯罪都市2,喜滿客絕色影城,數位,15:05,2022-05-23
88,犯罪都市2,喜滿客絕色影城,數位,17:15,2022-05-23
89,犯罪都市2,喜滿客絕色影城,數位,19:25,2022-05-23
90,犯罪都市2,喜滿客絕色影城,數位,21:30,2022-05-23
91,犯罪都市2,台北信義威秀影城,數位,11:00,2022-05-23
92,犯罪都市2,台北信義威秀影城,數位,14:50,2022-05-23
93,犯罪都市2,台北信義威秀影城,數位,16:55,2022-05-23
94,犯罪都市2,台北信義威秀影城,數位,20:45,2022-05-23
95,犯罪都市2,台北信義威秀影城,數位,22:50,2022-05-23
96,犯罪都市2,哈拉影城,數位,11:30,2022-05-23
97,犯罪都市2,哈拉影城,數位,14:10,2022-05-23
98,犯罪都市2,哈拉影城,數位,16:10,2022-05-23
99,犯罪都市2,哈拉影城,數位,18:10,2022-05-23
100,犯罪都市2,哈拉影城,數位,20:10,2022-05-23
